AUC,RECALL,F-0.5,F-1,F-2,TN,FN,FP,TP,MODEL,N_NEG,N_POS,DS,CENARIO
1.0,1.0,1.0,1.0,1.0,15490.0,0.0,0.0,6.0,XGB,15490,6,114,Cenário 1
0.8208897735021469,0.930668435893183,0.9844205059826658,0.96355128150088,0.9435485227100741,11222.0,13.0,836.0,32.0,FRBS,12058,45,115,Cenário 1
0.9835392652790448,1.0,0.12168141592920352,0.1814432989690722,0.3565640194489465,11662.0,0.0,397.0,44.0,LogClass,12059,44,115,Cenário 1
0.5908676281012296,0.18181818181818185,0.5000000000000001,0.3018867924528302,0.21621621621621626,12058.0,36.0,1.0,8.0,MLP,12059,44,115,Cenário 1
0.9886363636363636,0.9772727272727272,0.9953703703703703,0.9885057471264368,0.9817351598173516,12059.0,1.0,0.0,43.0,RF,12059,44,115,Cenário 1
0.5,0.0,0.0,0.0,0.0,12059.0,44.0,0.0,0.0,SVM,12059,44,115,Cenário 1
1.0,1.0,1.0,1.0,1.0,12059.0,0.0,0.0,44.0,XGB,12059,44,115,Cenário 1
0.9969535415079971,0.993907083015994,0.9987754477269251,0.9969442322383499,0.995119719383865,10440.0,0.0,64.0,51.0,FRBS,10504,51,116,Cenário 1
0.9966222645099904,1.0,0.4420432220039293,0.5590062111801242,0.7601351351351351,10439.0,0.0,71.0,45.0,LogClass,10510,45,116,Cenário 1
0.7777777777777778,0.5555555555555556,0.8620689655172413,0.7142857142857143,0.6097560975609756,10510.0,20.0,0.0,25.0,MLP,10510,45,116,Cenário 1
0.9999524262607041,1.0,0.982532751091703,0.989010989010989,0.9955752212389382,10509.0,0.0,1.0,45.0,RF,10510,45,116,Cenário 1
0.5,0.0,0.0,0.0,0.0,10510.0,45.0,0.0,0.0,SVM,10510,45,116,Cenário 1
1.0,1.0,1.0,1.0,1.0,10510.0,0.0,0.0,45.0,XGB,10510,45,116,Cenário 1
0.809039422047806,0.993078844095612,0.998436132512662,0.996420389461627,0.9944127691802059,13918.0,3.0,97.0,5.0,FRBS,14015,8,117,Cenário 1
0.9879032258064516,1.0,0.038979447200566966,0.06094182825484765,0.13959390862944165,13673.0,0.0,339.0,11.0,LogClass,14012,11,117,Cenário 1
0.7727272727272727,0.5454545454545454,0.8571428571428571,0.7058823529411764,0.6,14012.0,5.0,0.0,6.0,MLP,14012,11,117,Cenário 1
1.0,1.0,1.0,1.0,1.0,14012.0,0.0,0.0,11.0,RF,14012,11,117,Cenário 1
0.5,0.0,0.0,0.0,0.0,14012.0,11.0,0.0,0.0,SVM,14012,11,117,Cenário 1
1.0,1.0,1.0,1.0,1.0,14012.0,0.0,0.0,11.0,XGB,14012,11,117,Cenário 1
0.70990562094563,0.972442820838628,0.9916585681891801,0.9843643233248921,0.9771766020269731,12245.0,42.0,347.0,34.0,FRBS,12592,76,118,Cenário 1
0.9897262990876636,1.0,0.233160621761658,0.3272727272727273,0.5487804878048781,12346.0,0.0,259.0,63.0,LogClass,12605,63,118,Cenário 1
0.7855159517198391,0.5714285714285714,0.7929515418502204,0.6923076923076923,0.6143344709897611,12600.0,27.0,5.0,36.0,MLP,12605,63,118,Cenário 1
0.992063492063492,0.984126984126984,0.9967845659163984,0.992,0.9872611464968152,12605.0,1.0,0.0,62.0,RF,12605,63,118,Cenário 1
0.5793650793650793,0.15873015873015872,0.4854368932038835,0.2739726027397261,0.19083969465648853,12605.0,53.0,0.0,10.0,SVM,12605,63,118,Cenário 1
0.9999603332011108,1.0,0.987460815047022,0.9921259842519684,0.9968354430379748,12604.0,0.0,1.0,63.0,XGB,12605,63,118,Cenário 1
0.834875129276388,0.984818751703461,0.996420574252402,0.9920379979683169,0.987693804806578,36133.0,23.0,557.0,50.0,FRBS,36690,73,119,Cenário 1
0.9791502003216048,1.0,0.05555555555555555,0.08602150537634408,0.19047619047619047,35161.0,0.0,1530.0,72.0,LogClass,36691,72,119,Cenário 1
0.6249863726799487,0.25,0.6081081081081081,0.3956043956043957,0.2931596091205212,36690.0,54.0,1.0,18.0,MLP,36691,72,119,Cenário 1
1.0,1.0,1.0,1.0,1.0,36691.0,0.0,0.0,72.0,RF,36691,72,119,Cenário 1
0.6041666666666666,0.20833333333333331,0.5681818181818181,0.3448275862068966,0.24752475247524755,36691.0,57.0,0.0,15.0,SVM,36691,72,119,Cenário 1
1.0,1.0,1.0,1.0,1.0,36691.0,0.0,0.0,72.0,XGB,36691,72,119,Cenário 1
0.9572345792249484,1.0,0.01104728236853734,0.01755926251097454,0.0427715996578272,11964.0,0.0,1119.0,10.0,LogClass,13083,10,12,Cenário 1
0.55,0.1,0.35714285714285715,0.18181818181818185,0.12195121951219512,13083.0,9.0,0.0,1.0,MLP,13083,10,12,Cenário 1
1.0,1.0,1.0,1.0,1.0,13083.0,0.0,0.0,10.0,RF,13083,10,12,Cenário 1
0.5,0.0,0.0,0.0,0.0,13083.0,10.0,0.0,0.0,SVM,13083,10,12,Cenário 1
1.0,1.0,1.0,1.0,1.0,13083.0,0.0,0.0,10.0,XGB,13083,10,12,Cenário 1
0.677126710291493,0.854253420582986,0.9667057759996921,0.92122989506484,0.879840347314614,10052.0,4.0,1715.0,4.0,FRBS,11767,8,120,Cenário 1
0.9944760771649528,1.0,0.07142857142857142,0.1095890410958904,0.23529411764705885,11637.0,0.0,130.0,8.0,LogClass,11767,8,120,Cenário 1
0.8125,0.625,0.8928571428571429,0.7692307692307693,0.6756756756756757,11767.0,3.0,0.0,5.0,MLP,11767,8,120,Cenário 1
0.875,0.75,0.9375,0.8571428571428571,0.7894736842105263,11767.0,2.0,0.0,6.0,RF,11767,8,120,Cenário 1
0.5,0.0,0.0,0.0,0.0,11767.0,8.0,0.0,0.0,SVM,11767,8,120,Cenário 1
